LCSC Part Number,Quantity,Description,Package,Qty per board,Notes,Link
C4154405,3,CH334R hub USB 2.0,QSOP-16,1,WCH - introuvable hors Chine,https://lcsc.com/product-detail/C4154405.html
C16581,5,TP4056-42-ESOP8,ESOP-8,2,,https://lcsc.com/product-detail/C16581.html
C351410,5,DW01A,SOT-23-6,2,,https://lcsc.com/product-detail/C351410.html
C32254,5,FS8205,SOT-23-6,2,,https://lcsc.com/product-detail/C32254.html
C351408,5,AO3407,SOT-23,2,,https://lcsc.com/product-detail/C351408.html
C431540,5,MSK-12C02,SMD,2,SHOU HAN,https://lcsc.com/product-detail/C431540.html
C165948,5,USB-C TYPE-C-31-M-12 16P,SMD,2,HRO - VERROUILLE par l'empreinte de la carte,https://lcsc.com/product-detail/C165948.html
C1591,200,100nF X7R 50V Samsung,0603,10,"tous les 100nF unifies en 0603 - stock 7.8M verifie",https://lcsc.com/product-detail/C1591.html
C28323,100,1uF Samsung,0805,13,tous les 1uF unifies en 0805,,https://lcsc.com/product-detail/C28323.html
C128855,100,10uF X5R 25V YAGEO,1206,5,"le 22uF de sortie AMS1117 devient 1-2x10uF (C16, empiler si 2)",https://lcsc.com/product-detail/C128855.html
