Designator,Mid X,Mid Y,Layer,Rotation
C1,182.7605mm,-65.5830mm,Bottom,90
C2,162.9350mm,-176.8590mm,Bottom,180
C3,181.0605mm,-65.5830mm,Bottom,90
C4,162.9350mm,-175.1590mm,Bottom,180
C5,184.0605mm,-68.9830mm,Top,0
C6,184.0605mm,-75.3830mm,Top,180
C7,162.4600mm,-200.7590mm,Bottom,-90
C8,172.4605mm,-45.6830mm,Bottom,90
C9,171.3605mm,-73.4830mm,Bottom,90
C10,171.3600mm,-172.9590mm,Bottom,-90
C11,174.2605mm,-45.6830mm,Bottom,90
C12,170.7600mm,-200.7590mm,Bottom,-90
C13,185.1605mm,-35.7830mm,Bottom,-90
C14,167.1605mm,-38.1830mm,Top,180
C15,181.6230mm,-35.7830mm,Top,180
C16,167.0605mm,-35.7830mm,Top,0
C17,130.5980mm,-61.8830mm,Bottom,0
C18,130.5605mm,-63.9830mm,Bottom,0
C19,98.1600mm,-171.1590mm,Bottom,-90
C20,98.4605mm,-75.9830mm,Bottom,-90
C21,67.4605mm,-62.3830mm,Bottom,180
C22,67.4600mm,-184.0590mm,Bottom,180
C23,109.4600mm,-170.0590mm,Bottom,180
C24,109.4605mm,-78.4830mm,Bottom,0
C25,105.0600mm,-165.8590mm,Bottom,180
C26,109.4605mm,-76.3830mm,Bottom,180
C27,87.6605mm,-82.0830mm,Bottom,180
C28,76.7600mm,-168.7590mm,Bottom,0
D1,38.0600mm,-209.3590mm,Bottom,90
D2,24.2505mm,-38.3260mm,Bottom,-90
D3,26.2450mm,-57.0172mm,Bottom,-90
D4,58.9600mm,-197.3590mm,Bottom,90
D5,44.5600mm,-170.8590mm,Bottom,90
D6,46.1605mm,-76.4330mm,Bottom,-90
D7,161.3600mm,-144.6590mm,Bottom,90
D8,156.6605mm,-101.0830mm,Bottom,-90
D9,40.4924mm,-37.0397mm,Bottom,-100
D10,40.4919mm,-209.4022mm,Bottom,90
D11,61.3605mm,-49.0960mm,Bottom,-90
D12,61.3600mm,-197.3460mm,Bottom,90
D13,61.4605mm,-68.4960mm,Bottom,-90
D14,61.6600mm,-175.3590mm,Bottom,90
D15,77.3767mm,-218.3874mm,Bottom,90
D16,77.3772mm,-28.0546mm,Bottom,-95
D17,79.3552mm,-198.6356mm,Bottom,90
D18,79.3557mm,-47.8063mm,Bottom,-95
D19,80.5454mm,-181.0213mm,Bottom,90
D20,80.5459mm,-65.4206mm,Bottom,-95
D21,99.5605mm,-23.2960mm,Bottom,-90
D22,99.5600mm,-223.1460mm,Bottom,90
D23,99.9095mm,-203.3720mm,Bottom,90
D24,99.9100mm,-43.0700mm,Bottom,-90
D25,99.9600mm,-182.4590mm,Bottom,90
D26,99.9100mm,-61.1960mm,Bottom,-90
D27,109.8600mm,-162.0090mm,Bottom,90
D28,111.7605mm,-84.0330mm,Bottom,-90
D29,119.4600mm,-219.9590mm,Bottom,90
D30,118.4605mm,-25.5960mm,Bottom,-90
D31,118.9095mm,-200.9970mm,Bottom,90
D32,118.9100mm,-45.4450mm,Bottom,-90
D33,118.9100mm,-63.4960mm,Bottom,-90
D34,118.9095mm,-182.9460mm,Bottom,90
D35,112.6600mm,-162.0590mm,Bottom,90
D36,115.6605mm,-83.9960mm,Bottom,-90
D37,121.9095mm,-219.9970mm,Bottom,90
D38,121.9100mm,-26.4450mm,Bottom,-90
D39,121.9095mm,-200.9970mm,Bottom,90
D40,121.9100mm,-45.4450mm,Bottom,-90
D41,121.9100mm,-63.4960mm,Bottom,-90
D42,121.9095mm,-182.9460mm,Bottom,90
D43,135.3605mm,-89.1960mm,Bottom,-90
D44,150.7600mm,-146.8590mm,Bottom,90
D45,141.6600mm,-218.5460mm,Bottom,90
D46,141.6605mm,-27.8960mm,Bottom,-90
D47,139.3600mm,-198.8590mm,Bottom,90
D48,152.2605mm,-46.5830mm,Bottom,-90
D51,116.0600mm,-170.0590mm,Bottom,0
D52,116.0605mm,-76.3830mm,Bottom,0
D100,176.0605mm,-90.8830mm,Bottom,0
D101,172.3605mm,-90.7830mm,Bottom,180
D102,167.7605mm,-73.4830mm,Bottom,90
D103,154.9605mm,-66.1830mm,Bottom,-90
D104,137.7605mm,-78.4830mm,Bottom,-90
D105,139.4605mm,-53.8330mm,Bottom,90
D106,156.2605mm,-48.9830mm,Bottom,90
D107,139.2605mm,-30.4830mm,Bottom,-90
D108,168.1605mm,-39.8830mm,Bottom,180
D109,162.7605mm,-73.7330mm,Bottom,90
D110,165.7605mm,-90.7830mm,Bottom,0
D111,140.7600mm,-181.6590mm,Bottom,180
D112,170.9600mm,-170.0590mm,Bottom,0
D113,144.0600mm,-182.6590mm,Bottom,180
D114,140.7600mm,-183.7590mm,Bottom,180
D115,140.7600mm,-185.7590mm,Bottom,180
D116,144.0600mm,-184.7590mm,Bottom,180
D117,144.0600mm,-188.8590mm,Bottom,180
D118,140.7600mm,-187.7590mm,Bottom,180
D119,144.0600mm,-186.7590mm,Bottom,180
D120,140.7600mm,-179.3590mm,Bottom,180
D121,144.0600mm,-180.5590mm,Bottom,180
J3,181.6605mm,-72.4830mm,Bottom,-90
J7,181.3600mm,-220.0590mm,Top,0
J8,181.3605mm,-26.3830mm,Top,180
Q1,92.2600mm,-166.2590mm,Bottom,0
Q2,92.4605mm,-81.0830mm,Bottom,180
Q3,83.8975mm,-169.0090mm,Bottom,0
Q4,85.6605mm,-74.0830mm,Bottom,-90
R1,159.8350mm,-176.8590mm,Bottom,180
R2,182.7605mm,-62.4830mm,Bottom,90
R3,147.6600mm,-187.7590mm,Bottom,180
R4,177.5605mm,-45.7830mm,Bottom,90
R5,151.0600mm,-186.7590mm,Bottom,180
R6,175.8605mm,-45.6830mm,Bottom,90
R7,162.7605mm,-70.3830mm,Bottom,-90
R8,147.6600mm,-179.3590mm,Bottom,180
R9,173.0605mm,-73.6830mm,Bottom,-90
R10,151.0600mm,-180.5590mm,Bottom,180
R11,176.3605mm,-73.6830mm,Bottom,90
R12,147.6600mm,-181.6590mm,Bottom,0
R13,169.8600mm,-172.9590mm,Bottom,-90
R14,174.6605mm,-73.6830mm,Bottom,90
R15,169.0600mm,-200.7340mm,Bottom,-90
R16,169.0605mm,-45.7080mm,Bottom,90
R17,167.3600mm,-200.7590mm,Bottom,-90
R18,170.7605mm,-45.6830mm,Bottom,90
R19,151.0600mm,-182.6590mm,Bottom,0
R20,169.5605mm,-73.4830mm,Bottom,90
R21,155.8480mm,-63.5830mm,Bottom,0
R22,147.6600mm,-183.7590mm,Bottom,0
R23,155.8605mm,-62.0830mm,Bottom,0
R24,147.6600mm,-185.7590mm,Bottom,0
R25,155.8605mm,-60.5830mm,Bottom,0
R26,151.0600mm,-184.7590mm,Bottom,0
R27,155.8605mm,-59.0830mm,Bottom,0
R28,151.0600mm,-188.8590mm,Bottom,0
R29,184.0605mm,-73.7830mm,Top,180
R30,164.1605mm,-45.6830mm,Bottom,90
R31,165.7600mm,-200.7590mm,Bottom,-90
R32,184.0605mm,-72.1830mm,Top,180
R33,174.2600mm,-200.7590mm,Bottom,-90
R34,160.7605mm,-45.6830mm,Bottom,90
R35,184.0605mm,-70.5830mm,Top,180
R36,165.7605mm,-45.6830mm,Bottom,90
R37,164.1600mm,-200.7590mm,Bottom,-90
R38,160.7600mm,-200.7590mm,Bottom,-90
R39,167.3605mm,-45.6830mm,Bottom,90
R40,172.4600mm,-200.7590mm,Bottom,-90
R41,162.4605mm,-45.6830mm,Bottom,90
R42,174.2480mm,-87.0830mm,Bottom,180
R43,173.0600mm,-156.8715mm,Bottom,-90
R44,174.3600mm,-172.9590mm,Bottom,-90
R45,184.8605mm,-87.3830mm,Bottom,-90
R46,172.8600mm,-172.9590mm,Bottom,-90
R47,172.4605mm,-81.4955mm,Bottom,90
